date,crude_oil,natural_gas,copper,aluminum
2015-01-01,53.7599983215332,2.845000028610229,2.8420000076293945,2168.5
2015-02-01,47.59,2.686000108718872,2.51,2297.5
2015-03-01,49.45,2.7249999046325684,2.6205,2080.5
2015-04-01,47.54999923706055,2.63700008392334,2.749500036239624,2036.0
2015-05-01,59.790000915527344,2.736999988555908,2.884500026702881,2023.5
2015-06-01,60.290000915527344,2.615000009536743,2.763499975204468,1867.75
2015-07-01,58.97999954223633,2.815999984741211,2.622499942779541,1836.25
2015-08-01,46.86000061035156,2.7249999046325684,2.3499999046325684,1690.0
2015-09-01,48.09999847412109,2.686000108718872,2.3355000019073486,1690.0
2015-10-01,45.380001068115234,2.5220000743865967,2.3415000438690186,1630.0
2015-11-01,45.380001068115234,2.5220000743865967,2.3415000438690186,1630.0
2015-12-01,41.72999954223633,2.2300000190734863,2.0439999103546143,1630.25
2016-01-01,37.59999847412109,2.365999937057495,2.070499897003174,1601.5
2016-02-01,33.83000183105469,2.213000059127808,2.0299999713897705,1646.75
2016-03-01,33.900001525878906,1.7070000171661377,2.122499942779541,1653.75
2016-04-01,38.13999938964844,1.963000059127808,2.184000015258789,1612.0
2016-05-01,38.13999938964844,1.963000059127808,2.184000015258789,1612.0
2016-06-01,48.81999969482422,2.2869999408721924,2.065500020980835,1618.0
2016-07-01,48.380001068115234,2.930999994277954,2.200999975204468,1700.25
2016-08-01,41.34999847412109,2.8399999141693115,2.239000082015991,1668.0
2016-09-01,44.84999847412109,2.878999948501587,2.072000026702881,1658.0
2016-10-01,48.040000915527344,2.9049999713897705,2.187000036239624,1732.5
2016-11-01,46.77000045776367,2.9790000915527344,2.2049999237060547,1804.0
2016-12-01,49.06999969482422,3.3480000495910645,2.625499963760376,1842.0
2017-01-01,49.06999969482422,3.3480000495910645,2.625499963760376,1842.0
2017-02-01,52.7599983215332,3.134000062942505,2.7179999351501465,1910.0
2017-03-01,53.95000076293945,2.7699999809265137,2.7049999237060547,2044.75
2017-04-01,50.68999862670898,3.2170000076293945,2.6414999961853027,2023.5
2017-05-01,49.16999816894531,3.249000072479248,2.587500095367432,2014.5
2017-06-01,48.630001068115234,3.0799999237060547,2.576499938964844,2016.75
2017-07-01,46.27999877929688,2.9489998817443848,2.686000108718872,1991.0
2017-08-01,50.209999084472656,2.809999942779541,2.890500068664551,1971.25
2017-09-01,47.08000183105469,3.0269999504089355,3.086999893188477,2194.75
2017-10-01,47.08000183105469,3.0269999504089355,3.086999893188477,2194.75
2017-11-01,54.650001525878906,2.9059998989105225,3.138000011444092,2231.5
2017-12-01,57.41999816894531,3.032000064849853,3.0445001125335693,2239.5
2018-01-01,60.20000076293945,3.0299999713897705,3.250999927520752,2244.5
2018-02-01,64.76000213623047,2.9560000896453857,3.180000066757202,2250.0
2018-03-01,61.54999923706055,2.6679999828338623,3.1045000553131104,2255.0
2018-04-01,61.54999923706055,2.6679999828338623,3.1045000553131104,2255.0
2018-05-01,68.55999755859375,2.763999938964844,3.048500061035156,2300.0
2018-06-01,67.06999969482422,2.950999975204468,3.05649995803833,2305.0
2018-07-01,67.06999969482422,2.950999975204468,3.05649995803833,2305.0
2018-08-01,68.43000030517578,2.7799999713897705,2.815000057220459,2313.5
2018-09-01,70.12000274658203,2.861999988555908,2.635499954223633,2318.75
2018-10-01,73.29000091552734,3.006999969482422,2.782999992370605,2323.0
2018-11-01,64.87999725341797,3.2839999198913574,2.67549991607666,2328.25
2018-12-01,52.45000076293945,4.526999950408936,2.799999952316284,2332.5
2019-01-01,45.79999923706055,2.9210000038146973,2.6659998893737797,2332.5
2019-02-01,54.0099983215332,2.8320000171661377,2.765000104904175,2332.5
2019-03-01,57.220001220703125,2.805000066757202,2.946500062942505,2225.0
2019-04-01,60.2400016784668,2.6630001068115234,2.940000057220459,2225.0
2019-05-01,63.400001525878906,2.572000026702881,2.9035000801086426,2225.0
2019-06-01,53.41999816894531,2.444000005722046,2.634999990463257,2225.0
2019-07-01,59.27000045776367,2.3299999237060547,2.73799991607666,1793.5
2019-08-01,57.84999847412109,2.23799991607666,2.6465001106262207,1842.0
2019-09-01,57.84999847412109,2.23799991607666,2.6465001106262207,1842.0
2019-10-01,54.27999877929688,2.325000047683716,2.549999952316284,1737.25
2019-11-01,54.150001525878906,2.63700008392334,2.635999917984009,1794.0
2019-12-01,54.150001525878906,2.63700008392334,2.635999917984009,1794.0
2020-01-01,61.59999847412109,2.184000015258789,2.816499948501587,1812.5
2020-02-01,51.0099983215332,1.8519999980926516,2.5230000019073486,1706.75
2020-03-01,51.0099983215332,1.8519999980926516,2.5230000019073486,1706.75
2020-04-01,20.100000381469727,1.6430000066757202,2.220000028610229,1485.0
2020-05-01,19.040000915527344,1.9359999895095823,2.3469998836517334,1489.5
2020-06-01,35.209999084472656,1.830000042915344,2.43149995803833,1535.75
2020-07-01,39.84000015258789,1.753999948501587,2.7160000801086426,1619.75
2020-08-01,40.38999938964844,1.8589999675750728,2.8534998893737797,1732.5
2020-09-01,42.83000183105469,2.628000020980835,3.032500028610229,1793.0
2020-10-01,39.900001525878906,2.549999952316284,3.032500028610229,1743.0
2020-11-01,39.900001525878906,2.549999952316284,3.032500028610229,1743.0
2020-12-01,45.08000183105469,2.934000015258789,3.44350004196167,2052.75
2021-01-01,48.400001525878906,2.625999927520752,3.559000015258789,2023.25
2021-02-01,51.9900016784668,2.7300000190734863,3.566499948501587,1963.0
2021-03-01,61.95000076293945,2.799999952316284,4.110499858856201,2146.25
