"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M06","European Union - 27 countries (from 2020)","Total","Gigawatt-hour","210 253.948",""
"2017M06","European Union - 27 countries (from 2020)","Combustible fuels - non-renewable","Gigawatt-hour","2 894.698",""
"2017M06","European Union - 27 countries (from 2020)","Coal and manufactured gases","Gigawatt-hour","41 960.660",""
"2017M06","European Union - 27 countries (from 2020)","Natural gas","Gigawatt-hour","24 240.737",""
"2017M06","European Union - 27 countries (from 2020)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","53 211.111",""
"2017M06","Belgium","Total","Gigawatt-hour","6 532.450",""
"2017M06","Belgium","Combustible fuels - non-renewable","Gigawatt-hour","77.142",""
"2017M06","Belgium","Coal and manufactured gases","Gigawatt-hour","169.536",""
"2017M06","Belgium","Natural gas","Gigawatt-hour","1 297.543",""
"2017M06","Belgium","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","3 590.754",""
"2017M06","Bulgaria","Total","Gigawatt-hour","3 022.444",""
"2017M06","Bulgaria","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 100.604",""
"2017M06","Bulgaria","Natural gas","Gigawatt-hour","84.553",""
"2017M06","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 155.032",""
"2017M06","Czechia","Total","Gigawatt-hour","5 414.627",""
"2017M06","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","5.807",""
"2017M06","Czechia","Coal and manufactured gases","Gigawatt-hour","2 467.805",""
"2017M06","Czechia","Natural gas","Gigawatt-hour","275.082",""
"2017M06","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 723.452",""
"2017M06","Denmark","Total","Gigawatt-hour","1 847.705",""
"2017M06","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","46.453",""
"2017M06","Denmark","Coal and manufactured gases","Gigawatt-hour","139.607",""
"2017M06","Denmark","Natural gas","Gigawatt-hour","62.500",""
"2017M06","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","44 906.856",""
"2017M06","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 548.082","e"
"2017M06","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","15 664.313","e"
"2017M06","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","4 694.722","e"
"2017M06","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","6 343.615",""
"2017M06","Estonia","Total","Gigawatt-hour","874.000",""
"2017M06","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M06","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Ireland","Total","Gigawatt-hour","2 258.702",""
"2017M06","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","163.165",""
"2017M06","Ireland","Coal and manufactured gases","Gigawatt-hour","159.847",""
"2017M06","Ireland","Natural gas","Gigawatt-hour","1 293.201",""
"2017M06","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Greece","Total","Gigawatt-hour","4 156.322",""
"2017M06","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.030",""
"2017M06","Greece","Coal and manufactured gases","Gigawatt-hour","1 214.600",""
"2017M06","Greece","Natural gas","Gigawatt-hour","1 417.080",""
"2017M06","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Spain","Total","Gigawatt-hour","22 086.886",""
"2017M06","Spain","Combustible fuels - non-renewable","Gigawatt-hour","312.552",""
"2017M06","Spain","Coal and manufactured gases","Gigawatt-hour","4 533.751",""
"2017M06","Spain","Natural gas","Gigawatt-hour","5 269.747",""
"2017M06","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 062.822",""
"2017M06","France","Total","Gigawatt-hour","37 089.405",""
"2017M06","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M06","France","Coal and manufactured gases","Gigawatt-hour","541.110",""
"2017M06","France","Natural gas","Gigawatt-hour","1 868.640",""
"2017M06","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","26 884.246",""
"2017M06","Croatia","Total","Gigawatt-hour","557.175",""
"2017M06","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Croatia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Croatia","Natural gas","Gigawatt-hour","168.679",""
"2017M06","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Italy","Total","Gigawatt-hour","25 284.000",""
"2017M06","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M06","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M06","Italy","Natural gas","Gigawatt-hour",":",""
"2017M06","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Cyprus","Total","Gigawatt-hour","397.436",""
"2017M06","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Cyprus","Natural gas","Gigawatt-hour","0.000",""
"2017M06","Cyprus","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Latvia","Total","Gigawatt-hour","363.000",""
"2017M06","Latvia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Latvia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Latvia","Natural gas","Gigawatt-hour","136.000",""
"2017M06","Latvia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Lithuania","Total","Gigawatt-hour","311.030",""
"2017M06","Lithuania","Combustible fuels - non-renewable","Gigawatt-hour","1.278","e"
"2017M06","Lithuania","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Lithuania","Natural gas","Gigawatt-hour","41.241","e"
"2017M06","Lithuania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Luxembourg","Total","Gigawatt-hour","144.299",""
"2017M06","Luxembourg","Combustible fuels - non-renewable","Gigawatt-hour","5.784",""
"2017M06","Luxembourg","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Luxembourg","Natural gas","Gigawatt-hour","12.099",""
"2017M06","Luxembourg","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Hungary","Total","Gigawatt-hour","2 377.597",""
"2017M06","Hungary","Combustible fuels - non-renewable","Gigawatt-hour","17.598",""
"2017M06","Hungary","Coal and manufactured gases","Gigawatt-hour","199.484",""
"2017M06","Hungary","Natural gas","Gigawatt-hour","576.046",""
"2017M06","Hungary","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 336.804",""
"2017M06","Malta","Total","Gigawatt-hour","145.017",""
"2017M06","Malta","Combustible fuels - non-renewable","Gigawatt-hour","132.104",""
"2017M06","Malta","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M06","Malta","Natural gas","Gigawatt-hour",":","c"
"2017M06","Malta","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Netherlands","Total","Gigawatt-hour","8 215.000",""
"2017M06","Netherlands","Combustible fuels - non-renewable","Gigawatt-hour","109.000","e"
"2017M06","Netherlands","Coal and manufactured gases","Gigawatt-hour","2 933.000","e"
"2017M06","Netherlands","Natural gas","Gigawatt-hour","3 866.000","e"
"2017M06","Netherlands","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000","e"
"2017M06","Austria","Total","Gigawatt-hour","5 297.569",""
"2017M06","Austria","Combustible fuels - non-renewable","Gigawatt-hour","63.822",""
"2017M06","Austria","Coal and manufactured gases","Gigawatt-hour","193.254",""
"2017M06","Austria","Natural gas","Gigawatt-hour","454.228",""
"2017M06","Austria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Poland","Total","Gigawatt-hour","11 843.536",""
"2017M06","Poland","Combustible fuels - non-renewable","Gigawatt-hour","127.147",""
"2017M06","Poland","Coal and manufactured gases","Gigawatt-hour","9 354.686",""
"2017M06","Poland","Natural gas","Gigawatt-hour","610.333",""
"2017M06","Poland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Portugal","Total","Gigawatt-hour","4 704.123",""
"2017M06","Portugal","Combustible fuels - non-renewable","Gigawatt-hour","25.648",""
"2017M06","Portugal","Coal and manufactured gases","Gigawatt-hour","1 209.695",""
"2017M06","Portugal","Natural gas","Gigawatt-hour","1 662.126",""
"2017M06","Portugal","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M06","Romania","Total","Gigawatt-hour","4 428.000",""
"2017M06","Romania","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M06","Romania","Coal and manufactured gases","Gigawatt-hour","1 208.000",""
"2017M06","Romania","Natural gas","Gigawatt-hour","316.000",""
"2017M06","Romania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","875.000",""
"2017M06","Slovenia","Total","Gigawatt-hour","1 160.311",""
"2017M06","Slovenia","Combustible fuels - non-renewable","Gigawatt-hour","0.518",""
"2017M06","Slovenia","Coal and manufactured gases","Gigawatt-hour","257.593",""
"2017M06","Slovenia","Natural gas","Gigawatt-hour","16.782",""
"2017M06","Slovenia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","487.255",""
"2017M06","Slovakia","Total","Gigawatt-hour","1 893.000",""
"2017M06","Slovakia","Combustible fuels - non-renewable","Gigawatt-hour","44.000",""
"2017M06","Slovakia","Coal and manufactured gases","Gigawatt-hour","177.000",""
"2017M06","Slovakia","Natural gas","Gigawatt-hour","78.000",""
"2017M06","Slovakia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","963.000",""
"2017M06","Finland","Total","Gigawatt-hour","4 217.000",""
"2017M06","Finland","Combustible fuels - non-renewable","Gigawatt-hour","72.000",""
"2017M06","Finland","Coal and manufactured gases","Gigawatt-hour","435.000",""
"2017M06","Finland","Natural gas","Gigawatt-hour","37.000",""
"2017M06","Finland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 334.000",""
"2017M06","Sweden","Total","Gigawatt-hour","10 726.458",""
"2017M06","Sweden","Combustible fuels - non-renewable","Gigawatt-hour","142.568",""
"2017M06","Sweden","Coal and manufactured gases","Gigawatt-hour","1.775",""
"2017M06","Sweden","Natural gas","Gigawatt-hour","3.135",""
"2017M06","Sweden","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 455.131",""
"2017M07","European Union - 27 countries (from 2020)","Total","Gigawatt-hour","216 325.505",""
"2017M07","European Union - 27 countries (from 2020)","Combustible fuels - non-renewable","Gigawatt-hour","3 073.738",""
"2017M07","European Union - 27 countries (from 2020)","Coal and manufactured gases","Gigawatt-hour","44 039.640",""
"2017M07","European Union - 27 countries (from 2020)","Natural gas","Gigawatt-hour","28 317.938",""
"2017M07","European Union - 27 countries (from 2020)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","55 015.852",""
"2017M07","Belgium","Total","Gigawatt-hour","7 029.324",""
"2017M07","Belgium","Combustible fuels - non-renewable","Gigawatt-hour","82.950",""
"2017M07","Belgium","Coal and manufactured gases","Gigawatt-hour","201.608",""
"2017M07","Belgium","Natural gas","Gigawatt-hour","1 364.438",""
"2017M07","Belgium","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 087.088",""
"2017M07","Bulgaria","Total","Gigawatt-hour","3 381.235",""
"2017M07","Bulgaria","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 312.688",""
"2017M07","Bulgaria","Natural gas","Gigawatt-hour","81.946",""
"2017M07","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 374.420",""
"2017M07","Czechia","Total","Gigawatt-hour","5 046.216",""
"2017M07","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","6.336",""
"2017M07","Czechia","Coal and manufactured gases","Gigawatt-hour","2 227.865",""
"2017M07","Czechia","Natural gas","Gigawatt-hour","379.635",""
"2017M07","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 591.881",""
"2017M07","Denmark","Total","Gigawatt-hour","1 514.533",""
"2017M07","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","50.562",""
"2017M07","Denmark","Coal and manufactured gases","Gigawatt-hour","205.827",""
"2017M07","Denmark","Natural gas","Gigawatt-hour","67.018",""
"2017M07","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","43 684.033",""
"2017M07","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 585.702","e"
"2017M07","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","16 659.249","e"
"2017M07","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","5 446.400","e"
"2017M07","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","5 339.723",""
"2017M07","Estonia","Total","Gigawatt-hour","769.000",""
"2017M07","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M07","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Ireland","Total","Gigawatt-hour","2 351.682",""
"2017M07","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","233.259",""
"2017M07","Ireland","Coal and manufactured gases","Gigawatt-hour","155.419",""
"2017M07","Ireland","Natural gas","Gigawatt-hour","1 477.708",""
"2017M07","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Greece","Total","Gigawatt-hour","5 041.459",""
"2017M07","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.020",""
"2017M07","Greece","Coal and manufactured gases","Gigawatt-hour","1 466.090",""
"2017M07","Greece","Natural gas","Gigawatt-hour","1 499.640",""
"2017M07","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Spain","Total","Gigawatt-hour","22 809.943",""
"2017M07","Spain","Combustible fuels - non-renewable","Gigawatt-hour","303.190",""
"2017M07","Spain","Coal and manufactured gases","Gigawatt-hour","4 310.643",""
"2017M07","Spain","Natural gas","Gigawatt-hour","5 905.183",""
"2017M07","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 401.573",""
"2017M07","France","Total","Gigawatt-hour","38 658.235",""
"2017M07","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M07","France","Coal and manufactured gases","Gigawatt-hour","1 179.723",""
"2017M07","France","Natural gas","Gigawatt-hour","2 532.288",""
"2017M07","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","28 159.857",""
"2017M07","Croatia","Total","Gigawatt-hour","794.916",""
"2017M07","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Croatia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Croatia","Natural gas","Gigawatt-hour","298.560",""
"2017M07","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Italy","Total","Gigawatt-hour","26 496.000",""
"2017M07","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M07","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M07","Italy","Natural gas","Gigawatt-hour",":",""
"2017M07","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Cyprus","Total","Gigawatt-hour","558.245",""
"2017M07","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Cyprus","Natural gas","Gigawatt-hour","0.000",""
"2017M07","Cyprus","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Latvia","Total","Gigawatt-hour","362.000",""
"2017M07","Latvia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Latvia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Latvia","Natural gas","Gigawatt-hour","127.000",""
"2017M07","Latvia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Lithuania","Total","Gigawatt-hour","253.335",""
"2017M07","Lithuania","Combustible fuels - non-renewable","Gigawatt-hour","6.673","e"
"2017M07","Lithuania","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Lithuania","Natural gas","Gigawatt-hour","10.906","e"
"2017M07","Lithuania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Luxembourg","Total","Gigawatt-hour","139.768",""
"2017M07","Luxembourg","Combustible fuels - non-renewable","Gigawatt-hour","6.167",""
"2017M07","Luxembourg","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Luxembourg","Natural gas","Gigawatt-hour","11.940",""
"2017M07","Luxembourg","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Hungary","Total","Gigawatt-hour","2 550.693",""
"2017M07","Hungary","Combustible fuels - non-renewable","Gigawatt-hour","20.387",""
"2017M07","Hungary","Coal and manufactured gases","Gigawatt-hour","362.806",""
"2017M07","Hungary","Natural gas","Gigawatt-hour","600.922",""
"2017M07","Hungary","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 307.188",""
"2017M07","Malta","Total","Gigawatt-hour","171.575",""
"2017M07","Malta","Combustible fuels - non-renewable","Gigawatt-hour","158.774",""
"2017M07","Malta","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M07","Malta","Natural gas","Gigawatt-hour",":","c"
"2017M07","Malta","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Netherlands","Total","Gigawatt-hour","8 432.000",""
"2017M07","Netherlands","Combustible fuels - non-renewable","Gigawatt-hour","109.000","e"
"2017M07","Netherlands","Coal and manufactured gases","Gigawatt-hour",":","u"
"2017M07","Netherlands","Natural gas","Gigawatt-hour",":","u"
"2017M07","Netherlands","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","174.000","e"
"2017M07","Austria","Total","Gigawatt-hour","5 535.699",""
"2017M07","Austria","Combustible fuels - non-renewable","Gigawatt-hour","66.822",""
"2017M07","Austria","Coal and manufactured gases","Gigawatt-hour","201.199",""
"2017M07","Austria","Natural gas","Gigawatt-hour","410.223",""
"2017M07","Austria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Poland","Total","Gigawatt-hour","12 232.321",""
"2017M07","Poland","Combustible fuels - non-renewable","Gigawatt-hour","140.577",""
"2017M07","Poland","Coal and manufactured gases","Gigawatt-hour","10 145.696",""
"2017M07","Poland","Natural gas","Gigawatt-hour","635.678",""
"2017M07","Poland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Portugal","Total","Gigawatt-hour","5 075.642",""
"2017M07","Portugal","Combustible fuels - non-renewable","Gigawatt-hour","30.510",""
"2017M07","Portugal","Coal and manufactured gases","Gigawatt-hour","1 192.624",""
"2017M07","Portugal","Natural gas","Gigawatt-hour","1 990.304",""
"2017M07","Portugal","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M07","Romania","Total","Gigawatt-hour","4 530.000",""
"2017M07","Romania","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Romania","Coal and manufactured gases","Gigawatt-hour","1 315.000",""
"2017M07","Romania","Natural gas","Gigawatt-hour","569.000",""
"2017M07","Romania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","888.000",""
"2017M07","Slovenia","Total","Gigawatt-hour","1 305.873",""
"2017M07","Slovenia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M07","Slovenia","Coal and manufactured gases","Gigawatt-hour","409.456",""
"2017M07","Slovenia","Natural gas","Gigawatt-hour","15.838",""
"2017M07","Slovenia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","501.005",""
"2017M07","Slovakia","Total","Gigawatt-hour","2 067.000",""
"2017M07","Slovakia","Combustible fuels - non-renewable","Gigawatt-hour","41.000",""
"2017M07","Slovakia","Coal and manufactured gases","Gigawatt-hour","163.000",""
"2017M07","Slovakia","Natural gas","Gigawatt-hour","77.000",""
"2017M07","Slovakia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 280.000",""
"2017M07","Finland","Total","Gigawatt-hour","4 249.000",""
"2017M07","Finland","Combustible fuels - non-renewable","Gigawatt-hour","84.000",""
"2017M07","Finland","Coal and manufactured gases","Gigawatt-hour","316.000",""
"2017M07","Finland","Natural gas","Gigawatt-hour","44.000",""
"2017M07","Finland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 620.000",""
"2017M07","Sweden","Total","Gigawatt-hour","11 285.778",""
"2017M07","Sweden","Combustible fuels - non-renewable","Gigawatt-hour","147.809",""
"2017M07","Sweden","Coal and manufactured gases","Gigawatt-hour","0.747",""
"2017M07","Sweden","Natural gas","Gigawatt-hour","3.311",""
"2017M07","Sweden","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 291.117",""
"2017M08","European Union - 27 countries (from 2020)","Total","Gigawatt-hour","213 172.651",""
"2017M08","European Union - 27 countries (from 2020)","Combustible fuels - non-renewable","Gigawatt-hour","3 088.573",""
"2017M08","European Union - 27 countries (from 2020)","Coal and manufactured gases","Gigawatt-hour","43 264.290",""
"2017M08","European Union - 27 countries (from 2020)","Natural gas","Gigawatt-hour","25 254.763",""
"2017M08","European Union - 27 countries (from 2020)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","57 794.317",""
"2017M08","Belgium","Total","Gigawatt-hour","6 848.001",""
"2017M08","Belgium","Combustible fuels - non-renewable","Gigawatt-hour","90.510",""
"2017M08","Belgium","Coal and manufactured gases","Gigawatt-hour","192.352",""
"2017M08","Belgium","Natural gas","Gigawatt-hour","1 293.869",""
"2017M08","Belgium","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 105.565",""
"2017M08","Bulgaria","Total","Gigawatt-hour","3 449.899",""
"2017M08","Bulgaria","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M08","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 391.042",""
"2017M08","Bulgaria","Natural gas","Gigawatt-hour","8.648",""
"2017M08","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 404.488",""
"2017M08","Czechia","Total","Gigawatt-hour","6 065.513",""
"2017M08","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","6.808",""
"2017M08","Czechia","Coal and manufactured gases","Gigawatt-hour","2 718.706",""
"2017M08","Czechia","Natural gas","Gigawatt-hour","264.795",""
"2017M08","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","2 162.556",""
"2017M08","Denmark","Total","Gigawatt-hour","1 628.663",""
"2017M08","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","45.448",""
"2017M08","Denmark","Coal and manufactured gases","Gigawatt-hour","269.001",""
"2017M08","Denmark","Natural gas","Gigawatt-hour","73.724",""
"2017M08","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","45 216.526",""
"2017M08","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 615.427","e"
"2017M08","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","17 226.414","e"
"2017M08","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","4 756.054","e"
"2017M08","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","7 089.106",""
"2017M08","Estonia","Total","Gigawatt-hour","855.000",""
"2017M08","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M08","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M08","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M08","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Ireland","Total","Gigawatt-hour","2 286.680",""
"2017M08","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","227.561",""
"2017M08","Ireland","Coal and manufactured gases","Gigawatt-hour","130.500",""
"2017M08","Ireland","Natural gas","Gigawatt-hour","1 421.376",""
"2017M08","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Greece","Total","Gigawatt-hour","5 166.163",""
"2017M08","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.020",""
"2017M08","Greece","Coal and manufactured gases","Gigawatt-hour","1 345.530",""
"2017M08","Greece","Natural gas","Gigawatt-hour","1 603.130",""
"2017M08","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Spain","Total","Gigawatt-hour","21 696.569",""
"2017M08","Spain","Combustible fuels - non-renewable","Gigawatt-hour","315.081",""
"2017M08","Spain","Coal and manufactured gases","Gigawatt-hour","3 248.540",""
"2017M08","Spain","Natural gas","Gigawatt-hour","5 506.954",""
"2017M08","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","5 081.284",""
"2017M08","France","Total","Gigawatt-hour","36 885.081",""
"2017M08","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M08","France","Coal and manufactured gases","Gigawatt-hour","318.699",""
"2017M08","France","Natural gas","Gigawatt-hour","2 109.438",""
"2017M08","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","28 585.542",""
"2017M08","Croatia","Total","Gigawatt-hour","899.269",""
"2017M08","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M08","Croatia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M08","Croatia","Natural gas","Gigawatt-hour","308.964",""
"2017M08","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Italy","Total","Gigawatt-hour","24 416.000",""
"2017M08","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M08","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M08","Italy","Natural gas","Gigawatt-hour",":",""
"2017M08","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Cyprus","Total","Gigawatt-hour","509.325",""
"2017M08","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M08","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M08","Cyprus","Natural gas","Gigawatt-hour","0.000",""
"2017M08","Cyprus","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M08","Latvia","Total","Gigawatt-hour","396.000",""
"2017M08","Latvia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M08","Latvia","Coal and manufactured gases","Gigawatt-hour","0.000",""
