"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M04","Greece","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Spain","Monthly rate of change","All-items HICP","0.7",""
"2015M04","France","Monthly rate of change","All-items HICP","0.1",""
"2015M04","Croatia","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Italy","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Cyprus","Monthly rate of change","All-items HICP","0.3",""
"2015M04","Latvia","Monthly rate of change","All-items HICP","0.6",""
"2015M04","Lithuania","Monthly rate of change","All-items HICP","0.7",""
"2015M04","Luxembourg","Monthly rate of change","All-items HICP","0.1",""
"2015M04","Hungary","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Malta","Monthly rate of change","All-items HICP","2.8",""
"2015M04","Netherlands","Monthly rate of change","All-items HICP","0.8",""
"2015M04","Austria","Monthly rate of change","All-items HICP","0.1",""
"2015M04","Poland","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Portugal","Monthly rate of change","All-items HICP","0.4",""
"2015M04","Romania","Monthly rate of change","All-items HICP","0.2",""
"2015M04","Slovenia","Monthly rate of change","All-items HICP","0.1",""
"2015M04","Slovakia","Monthly rate of change","All-items HICP","0.3",""
"2015M04","Finland","Monthly rate of change","All-items HICP","0.0",""
"2015M04","Sweden","Monthly rate of change","All-items HICP","0.2",""
"2015M05","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.3",""
"2015M05","Belgium","Monthly rate of change","All-items HICP","0.3",""
"2015M05","Bulgaria","Monthly rate of change","All-items HICP","0.0",""
"2015M05","Czechia","Monthly rate of change","All-items HICP","0.3",""
"2015M05","Denmark","Monthly rate of change","All-items HICP","0.0",""
"2015M05","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.4",""
"2015M05","Estonia","Monthly rate of change","All-items HICP","0.4",""
"2015M05","Ireland","Monthly rate of change","All-items HICP","0.5",""
"2015M05","Greece","Monthly rate of change","All-items HICP","-0.2",""
"2015M05","Spain","Monthly rate of change","All-items HICP","0.4",""
"2015M05","France","Monthly rate of change","All-items HICP","0.3",""
