"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M04","Spain","Index, 2015=100","All-items HICP","100.83",""
"2015M04","France","Index, 2015=100","All-items HICP","100.30",""
"2015M04","Croatia","Index, 2015=100","All-items HICP","100.11",""
"2015M04","Italy","Index, 2015=100","All-items HICP","100.7",""
"2015M04","Cyprus","Index, 2015=100","All-items HICP","99.85",""
"2015M04","Latvia","Index, 2015=100","All-items HICP","100.65",""
"2015M04","Lithuania","Index, 2015=100","All-items HICP","100.36",""
"2015M04","Luxembourg","Index, 2015=100","All-items HICP","100.25",""
"2015M04","Hungary","Index, 2015=100","All-items HICP","100.10",""
"2015M04","Malta","Index, 2015=100","All-items HICP","100.36",""
"2015M04","Netherlands","Index, 2015=100","All-items HICP","100.71",""
"2015M04","Austria","Index, 2015=100","All-items HICP","100.28",""
"2015M04","Poland","Index, 2015=100","All-items HICP","100.3",""
"2015M04","Portugal","Index, 2015=100","All-items HICP","100.40",""
"2015M04","Romania","Index, 2015=100","All-items HICP","101.51",""
"2015M04","Slovenia","Index, 2015=100","All-items HICP","100.20",""
"2015M04","Slovakia","Index, 2015=100","All-items HICP","100.13",""
"2015M04","Finland","Index, 2015=100","All-items HICP","100.22",""
"2015M04","Sweden","Index, 2015=100","All-items HICP","99.82",""
"2015M05","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.70",""
"2015M05","Belgium","Index, 2015=100","All-items HICP","100.43",""
"2015M05","Bulgaria","Index, 2015=100","All-items HICP","100.70",""
"2015M05","Czechia","Index, 2015=100","All-items HICP","100.5",""
"2015M05","Denmark","Index, 2015=100","All-items HICP","100.4",""
"2015M05","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.6",""
"2015M05","Estonia","Index, 2015=100","All-items HICP","100.89",""
"2015M05","Ireland","Index, 2015=100","All-items HICP","100.4",""
"2015M05","Greece","Index, 2015=100","All-items HICP","100.28",""
"2015M05","Spain","Index, 2015=100","All-items HICP","101.27",""
"2015M05","France","Index, 2015=100","All-items HICP","100.56",""
"2015M05","Croatia","Index, 2015=100","All-items HICP","100.68",""
"2015M05","Italy","Index, 2015=100","All-items HICP","100.9",""
"2015M05","Cyprus","Index, 2015=100","All-items HICP","100.97",""
"2015M05","Latvia","Index, 2015=100","All-items HICP","101.46",""
"2015M05","Lithuania","Index, 2015=100","All-items HICP","100.95",""
"2015M05","Luxembourg","Index, 2015=100","All-items HICP","100.80",""
"2015M05","Hungary","Index, 2015=100","All-items HICP","100.81",""
"2015M05","Malta","Index, 2015=100","All-items HICP","101.26",""
"2015M05","Netherlands","Index, 2015=100","All-items HICP","100.97",""
"2015M05","Austria","Index, 2015=100","All-items HICP","100.45",""
"2015M05","Poland","Index, 2015=100","All-items HICP","100.4",""
"2015M05","Portugal","Index, 2015=100","All-items HICP","100.93",""
"2015M05","Romania","Index, 2015=100","All-items HICP","102.17",""
"2015M05","Slovenia","Index, 2015=100","All-items HICP","100.87",""
"2015M05","Slovakia","Index, 2015=100","All-items HICP","100.44",""
"2015M05","Finland","Index, 2015=100","All-items HICP","100.11",""
"2015M05","Sweden","Index, 2015=100","All-items HICP","100.26",""
"2015M06","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.66",""
"2015M06","Belgium","Index, 2015=100","All-items HICP","100.60",""
"2015M06","Bulgaria","Index, 2015=100","All-items HICP","100.15",""
"2015M06","Czechia","Index, 2015=100","All-items HICP","100.7",""
"2015M06","Denmark","Index, 2015=100","All-items HICP","100.3",""
"2015M06","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.5",""
"2015M06","Estonia","Index, 2015=100","All-items HICP","100.94",""
"2015M06","Ireland","Index, 2015=100","All-items HICP","100.8",""
"2015M06","Greece","Index, 2015=100","All-items HICP","101.15",""
"2015M06","Spain","Index, 2015=100","All-items HICP","101.46",""
"2015M06","France","Index, 2015=100","All-items HICP","100.49",""
"2015M06","Croatia","Index, 2015=100","All-items HICP","100.97",""
"2015M06","Italy","Index, 2015=100","All-items HICP","101.0",""
"2015M06","Cyprus","Index, 2015=100","All-items HICP","101.32",""
"2015M06","Latvia","Index, 2015=100","All-items HICP","101.35",""
"2015M06","Lithuania","Index, 2015=100","All-items HICP","100.77",""
"2015M06","Luxembourg","Index, 2015=100","All-items HICP","101.02",""
"2015M06","Hungary","Index, 2015=100","All-items HICP","100.99",""
"2015M06","Malta","Index, 2015=100","All-items HICP","102.30",""
"2015M06","Netherlands","Index, 2015=100","All-items HICP","100.40",""
"2015M06","Austria","Index, 2015=100","All-items HICP","100.40",""
"2015M06","Poland","Index, 2015=100","All-items HICP","100.5",""
"2015M06","Portugal","Index, 2015=100","All-items HICP","100.82",""
"2015M06","Romania","Index, 2015=100","All-items HICP","99.59",""
"2015M06","Slovenia","Index, 2015=100","All-items HICP","100.79",""
"2015M06","Slovakia","Index, 2015=100","All-items HICP","100.55",""
"2015M06","Finland","Index, 2015=100","All-items HICP","100.12",""
"2015M06","Sweden","Index, 2015=100","All-items HICP","100.00",""
"2015M07","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.14",""
"2015M07","Belgium","Index, 2015=100","All-items HICP","99.27",""
"2015M07","Bulgaria","Index, 2015=100","All-items HICP","100.34",""
"2015M07","Czechia","Index, 2015=100","All-items HICP","100.5",""
"2015M07","Denmark","Index, 2015=100","All-items HICP","100.2",""
"2015M07","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.9",""
"2015M07","Estonia","Index, 2015=100","All-items HICP","100.61",""
"2015M07","Ireland","Index, 2015=100","All-items HICP","100.5",""
"2015M07","Greece","Index, 2015=100","All-items HICP","99.96",""
"2015M07","Spain","Index, 2015=100","All-items HICP","99.90",""
"2015M07","France","Index, 2015=100","All-items HICP","100.00",""
"2015M07","Croatia","Index, 2015=100","All-items HICP","100.81",""
"2015M07","Italy","Index, 2015=100","All-items HICP","99.1",""
"2015M07","Cyprus","Index, 2015=100","All-items HICP","100.70",""
"2015M07","Latvia","Index, 2015=100","All-items HICP","100.27",""
"2015M07","Lithuania","Index, 2015=100","All-items HICP","100.27",""
"2015M07","Luxembourg","Index, 2015=100","All-items HICP","99.74",""
"2015M07","Hungary","Index, 2015=100","All-items HICP","100.97",""
"2015M07","Malta","Index, 2015=100","All-items HICP","102.33",""
"2015M07","Netherlands","Index, 2015=100","All-items HICP","101.07",""
"2015M07","Austria","Index, 2015=100","All-items HICP","99.89",""
"2015M07","Poland","Index, 2015=100","All-items HICP","100.4",""
"2015M07","Portugal","Index, 2015=100","All-items HICP","100.15",""
"2015M07","Romania","Index, 2015=100","All-items HICP","99.07",""
"2015M07","Slovenia","Index, 2015=100","All-items HICP","100.07",""
"2015M07","Slovakia","Index, 2015=100","All-items HICP","100.27",""
