time,country,type,value,date
2021M01,Austria,Nuclear,0.0,2021-01-01
2021M01,Poland,Total,14326.307,2021-01-01
2021M01,Poland,Combustible fuels,88.001,2021-01-01
2021M01,Poland,Coal,10518.363,2021-01-01
2021M01,Poland,Natural gas,1560.463,2021-01-01
2021M01,Poland,Nuclear,0.0,2021-01-01
2021M01,Portugal,Total,5236.345,2021-01-01
2021M01,Portugal,Combustible fuels,26.071,2021-01-01
2021M01,Portugal,Coal,187.984,2021-01-01
2021M01,Portugal,Natural gas,1204.294,2021-01-01
2021M01,Portugal,Nuclear,0.0,2021-01-01
2021M01,Romania,Total,4706.0,2021-01-01
2021M01,Romania,Combustible fuels,0.0,2021-01-01
2021M01,Romania,Coal,732.0,2021-01-01
2021M01,Romania,Natural gas,969.0,2021-01-01
2021M01,Romania,Nuclear,847.0,2021-01-01
2021M01,Slovenia,Total,1434.398,2021-01-01
2021M01,Slovenia,Combustible fuels,0.715,2021-01-01
2021M01,Slovenia,Coal,378.572,2021-01-01
2021M01,Slovenia,Natural gas,48.593,2021-01-01
2021M01,Slovenia,Nuclear,516.967,2021-01-01
2021M01,Slovakia,Total,2555.0,2021-01-01
2021M01,Slovakia,Combustible fuels,68.0,2021-01-01
2021M01,Slovakia,Coal,140.0,2021-01-01
2021M01,Slovakia,Natural gas,481.0,2021-01-01
2021M01,Slovakia,Nuclear,1362.0,2021-01-01
2021M01,Finland,Total,6875.414,2021-01-01
2021M01,Finland,Combustible fuels,78.0,2021-01-01
2021M01,Finland,Coal,747.0,2021-01-01
2021M01,Finland,Natural gas,796.0,2021-01-01
2021M01,Finland,Nuclear,2081.685,2021-01-01
2021M01,Sweden,Total,16317.624,2021-01-01
2021M01,Sweden,Combustible fuels,199.34,2021-01-01
2021M01,Sweden,Coal,2.01,2021-01-01
2021M01,Sweden,Natural gas,95.23,2021-01-01
2021M01,Sweden,Nuclear,4981.28,2021-01-01
2021M02,EU,Total,231412.185,2021-02-01
2021M02,EU,Combustible fuels,2756.413,2021-02-01
2021M02,EU,Coal,30355.516,2021-02-01
2021M02,EU,Natural gas,32657.95,2021-02-01
2021M02,EU,Nuclear,58454.832,2021-02-01
2021M02,Belgium,Total,8125.942,2021-02-01
2021M02,Belgium,Combustible fuels,79.609,2021-02-01
2021M02,Belgium,Coal,54.493,2021-02-01
2021M02,Belgium,Natural gas,1971.828,2021-02-01
2021M02,Belgium,Nuclear,4029.662,2021-02-01
2021M02,Bulgaria,Total,3450.609,2021-02-01
2021M02,Bulgaria,Combustible fuels,0.0,2021-02-01
2021M02,Bulgaria,Coal,886.31,2021-02-01
2021M02,Bulgaria,Natural gas,294.147,2021-02-01
2021M02,Bulgaria,Nuclear,1354.824,2021-02-01
2021M02,Czechia,Total,6781.616,2021-02-01
2021M02,Czechia,Combustible fuels,7.804,2021-02-01
2021M02,Czechia,Coal,2815.21,2021-02-01
2021M02,Czechia,Natural gas,704.625,2021-02-01
2021M02,Czechia,Nuclear,2335.891,2021-02-01
2021M02,Denmark,Total,3329.654,2021-02-01
2021M02,Denmark,Combustible fuels,62.072,2021-02-01
2021M02,Denmark,Coal,730.135,2021-02-01
2021M02,Denmark,Natural gas,246.727,2021-02-01
2021M02,Denmark,Nuclear,0.0,2021-02-01
2021M02,Germany,Total,43466.436,2021-02-01
2021M02,Germany,Combustible fuels,1264.168,2021-02-01
2021M02,Germany,Coal,11612.285,2021-02-01
2021M02,Germany,Natural gas,8076.368,2021-02-01
2021M02,Germany,Nuclear,5369.449,2021-02-01
2021M02,Estonia,Total,574.5,2021-02-01
2021M02,Estonia,Combustible fuels,428.3,2021-02-01
2021M02,Estonia,Coal,0.0,2021-02-01
2021M02,Estonia,Natural gas,0.0,2021-02-01
2021M02,Estonia,Nuclear,0.0,2021-02-01
2021M02,Ireland,Total,2616.011,2021-02-01
2021M02,Ireland,Combustible fuels,71.445,2021-02-01
2021M02,Ireland,Coal,91.284,2021-02-01
2021M02,Ireland,Natural gas,909.638,2021-02-01
2021M02,Ireland,Nuclear,0.0,2021-02-01
2021M02,Greece,Total,3908.699,2021-02-01
2021M02,Greece,Combustible fuels,0.17,2021-02-01
2021M02,Greece,Coal,517.47,2021-02-01
2021M02,Greece,Natural gas,923.88,2021-02-01
2021M02,Greece,Nuclear,0.0,2021-02-01
2021M02,Spain,Total,21133.412,2021-02-01
2021M02,Spain,Combustible fuels,172.74,2021-02-01
2021M02,Spain,Coal,176.467,2021-02-01
2021M02,Spain,Natural gas,2930.363,2021-02-01
2021M02,Spain,Nuclear,4358.515,2021-02-01
2021M02,France,Total,47758.77,2021-02-01
2021M02,France,Combustible fuels,0.0,2021-02-01
2021M02,France,Coal,654.899,2021-02-01
2021M02,France,Natural gas,4188.099,2021-02-01
2021M02,France,Nuclear,30337.834,2021-02-01
2021M02,Croatia,Total,1541.263,2021-02-01
2021M02,Croatia,Combustible fuels,0.0,2021-02-01
2021M02,Croatia,Coal,118.24,2021-02-01
2021M02,Croatia,Natural gas,246.063,2021-02-01
2021M02,Croatia,Nuclear,0.0,2021-02-01
2021M02,Italy,Total,20655.0,2021-02-01
2021M02,Italy,Combustible fuels,0.0,2021-02-01
2021M02,Italy,Coal,0.0,2021-02-01
2021M02,Italy,Natural gas,0.0,2021-02-01
2021M02,Italy,Nuclear,0.0,2021-02-01
2021M02,Cyprus,Total,337.697,2021-02-01
2021M02,Cyprus,Combustible fuels,0.0,2021-02-01
2021M02,Cyprus,Coal,0.0,2021-02-01
2021M02,Cyprus,Natural gas,0.0,2021-02-01
2021M02,Cyprus,Nuclear,0.0,2021-02-01
2021M02,Latvia,Total,590.0,2021-02-01
2021M02,Latvia,Combustible fuels,0.0,2021-02-01
2021M02,Latvia,Coal,0.0,2021-02-01
2021M02,Latvia,Natural gas,316.0,2021-02-01
2021M02,Latvia,Nuclear,0.0,2021-02-01
2021M02,Lithuania,Total,362.512,2021-02-01
2021M02,Lithuania,Combustible fuels,6.373,2021-02-01
2021M02,Lithuania,Coal,0.0,2021-02-01
2021M02,Lithuania,Natural gas,108.658,2021-02-01
2021M02,Lithuania,Nuclear,0.0,2021-02-01
2021M02,Luxembourg,Total,185.617,2021-02-01
2021M02,Luxembourg,Combustible fuels,3.814,2021-02-01
2021M02,Luxembourg,Coal,0.0,2021-02-01
2021M02,Luxembourg,Natural gas,20.266,2021-02-01
2021M02,Luxembourg,Nuclear,0.0,2021-02-01
2021M02,Hungary,Total,2644.471,2021-02-01
2021M02,Hungary,Combustible fuels,26.019,2021-02-01
2021M02,Hungary,Coal,190.235,2021-02-01
2021M02,Hungary,Natural gas,760.581,2021-02-01
2021M02,Hungary,Nuclear,1290.345,2021-02-01
2021M02,Malta,Total,146.094,2021-02-01
2021M02,Malta,Combustible fuels,0.0,2021-02-01
2021M02,Malta,Coal,0.0,2021-02-01
2021M02,Malta,Natural gas,127.005,2021-02-01
2021M02,Malta,Nuclear,0.0,2021-02-01
2021M02,Netherlands,Total,10601.683,2021-02-01
2021M02,Netherlands,Combustible fuels,101.259,2021-02-01
2021M02,Netherlands,Coal,1036.376,2021-02-01
2021M02,Netherlands,Natural gas,5860.451,2021-02-01
2021M02,Netherlands,Nuclear,321.089,2021-02-01
2021M02,Austria,Total,5240.045,2021-02-01
2021M02,Austria,Combustible fuels,48.682,2021-02-01
2021M02,Austria,Coal,160.367,2021-02-01
2021M02,Austria,Natural gas,1150.02,2021-02-01
2021M02,Austria,Nuclear,0.0,2021-02-01
2021M02,Poland,Total,12813.435,2021-02-01
2021M02,Poland,Combustible fuels,102.49,2021-02-01
2021M02,Poland,Coal,9328.132,2021-02-01
2021M02,Poland,Natural gas,1218.962,2021-02-01
2021M02,Poland,Nuclear,0.0,2021-02-01
2021M02,Portugal,Total,5309.484,2021-02-01
2021M02,Portugal,Combustible fuels,20.004,2021-02-01
2021M02,Portugal,Coal,25.089,2021-02-01
2021M02,Portugal,Natural gas,528.557,2021-02-01
2021M02,Portugal,Nuclear,0.0,2021-02-01
2021M02,Romania,Total,4697.0,2021-02-01
2021M02,Romania,Combustible fuels,0.0,2021-02-01
2021M02,Romania,Coal,771.0,2021-02-01
2021M02,Romania,Natural gas,802.0,2021-02-01
2021M02,Romania,Nuclear,859.0,2021-02-01
2021M02,Slovenia,Total,1308.584,2021-02-01
2021M02,Slovenia,Combustible fuels,0.784,2021-02-01
2021M02,Slovenia,Coal,305.154,2021-02-01
2021M02,Slovenia,Natural gas,46.442,2021-02-01
2021M02,Slovenia,Nuclear,467.199,2021-02-01
2021M02,Slovakia,Total,2498.0,2021-02-01
2021M02,Slovakia,Combustible fuels,123.0,2021-02-01
2021M02,Slovakia,Coal,121.0,2021-02-01
2021M02,Slovakia,Natural gas,432.0,2021-02-01
2021M02,Slovakia,Nuclear,1226.0,2021-02-01
2021M02,Finland,Total,6516.907,2021-02-01
2021M02,Finland,Combustible fuels,66.0,2021-02-01
2021M02,Finland,Coal,757.0,2021-02-01
2021M02,Finland,Natural gas,711.0,2021-02-01
2021M02,Finland,Nuclear,1879.944,2021-02-01
2021M02,Sweden,Total,14818.744,2021-02-01
2021M02,Sweden,Combustible fuels,171.68,2021-02-01
2021M02,Sweden,Coal,4.37,2021-02-01
2021M02,Sweden,Natural gas,84.27,2021-02-01
2021M02,Sweden,Nuclear,4625.08,2021-02-01
2021M03,EU,Total,240950.573,2021-03-01
2021M03,EU,Combustible fuels,2584.475,2021-03-01
2021M03,EU,Coal,30842.89,2021-03-01
2021M03,EU,Natural gas,35134.168,2021-03-01
2021M03,EU,Nuclear,61916.856,2021-03-01
2021M03,Belgium,Total,8977.781,2021-03-01
2021M03,Belgium,Combustible fuels,87.838,2021-03-01
2021M03,Belgium,Coal,153.086,2021-03-01
2021M03,Belgium,Natural gas,2209.959,2021-03-01
2021M03,Belgium,Nuclear,4385.725,2021-03-01
2021M03,Bulgaria,Total,3917.608,2021-03-01
2021M03,Bulgaria,Combustible fuels,0.0,2021-03-01
2021M03,Bulgaria,Coal,1081.542,2021-03-01
2021M03,Bulgaria,Natural gas,319.957,2021-03-01
2021M03,Bulgaria,Nuclear,1510.119,2021-03-01
2021M03,Czechia,Total,7027.446,2021-03-01
2021M03,Czechia,Combustible fuels,7.063,2021-03-01
2021M03,Czechia,Coal,2711.715,2021-03-01
2021M03,Czechia,Natural gas,839.285,2021-03-01
2021M03,Czechia,Nuclear,2456.864,2021-03-01
2021M03,Denmark,Total,3070.302,2021-03-01
2021M03,Denmark,Combustible fuels,67.084,2021-03-01
2021M03,Denmark,Coal,523.876,2021-03-01
2021M03,Denmark,Natural gas,168.734,2021-03-01
2021M03,Denmark,Nuclear,0.0,2021-03-01
2021M03,Germany,Total,46341.48,2021-03-01
2021M03,Germany,Combustible fuels,1262.113,2021-03-01
2021M03,Germany,Coal,11708.671,2021-03-01
2021M03,Germany,Natural gas,7981.264,2021-03-01
2021M03,Germany,Nuclear,5503.866,2021-03-01
2021M03,Estonia,Total,394.4,2021-03-01
2021M03,Estonia,Combustible fuels,170.0,2021-03-01
2021M03,Estonia,Coal,0.0,2021-03-01
2021M03,Estonia,Natural gas,0.0,2021-03-01
2021M03,Estonia,Nuclear,0.0,2021-03-01
2021M03,Ireland,Total,2603.81,2021-03-01
2021M03,Ireland,Combustible fuels,92.026,2021-03-01
2021M03,Ireland,Coal,127.938,2021-03-01
