time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2015M03,Sweden,91.98,95.78,90.95,96.96,104.52,92.21,95.94
2015M04,EU,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Belgium,88.45,92.69,99.35,99.87,100.82,96.75,93.89
2015M04,Bulgaria,88.45,92.69,99.35,99.74,100.82,96.75,93.89
2015M04,Czechia,88.45,92.69,99.35,99.68,100.82,96.75,93.89
2015M04,Denmark,88.45,92.69,99.35,99.55,100.82,96.75,93.89
2015M04,Germany,88.45,92.69,99.35,99.42,100.82,96.75,93.89
2015M04,Estonia,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Ireland,88.45,92.69,99.35,100.08,100.82,96.75,93.89
2015M04,Greece,88.45,92.69,99.35,100.08,100.82,96.75,93.89
2015M04,Spain,88.45,92.69,99.35,100.16,100.82,96.75,93.89
2015M04,France,88.45,92.69,99.35,100.24,100.82,96.75,93.89
2015M04,Croatia,88.45,92.69,99.35,100.24,100.82,96.75,93.89
2015M04,Italy,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Cyprus,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Latvia,88.45,92.69,99.35,100.09,100.82,96.75,93.89
2015M04,Lithuania,88.45,92.69,99.35,100.09,100.82,96.75,93.89
2015M04,Luxembourg,88.45,92.69,99.35,100.09,100.82,96.75,93.89
2015M04,Hungary,88.45,92.69,99.35,100.18,100.82,96.75,93.89
2015M04,Malta,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Netherlands,88.45,92.69,99.35,99.92,100.82,96.75,93.89
2015M04,Austria,88.45,92.69,99.35,99.75,100.82,96.75,93.89
2015M04,Poland,88.45,92.69,99.35,99.67,100.82,96.75,93.89
2015M04,Portugal,88.45,92.69,99.35,99.59,100.82,96.75,93.89
2015M04,Romania,88.45,92.69,99.35,99.42,100.82,96.75,93.89
2015M04,Slovenia,88.45,92.69,99.35,100.0,100.82,96.75,93.89
2015M04,Slovakia,88.45,92.69,99.35,97.86,100.82,96.75,93.89
2015M04,Finland,88.45,92.69,99.35,95.73,100.82,96.75,93.89
2015M04,Sweden,88.45,92.69,99.35,93.6,100.82,96.75,93.89
2015M05,EU,111.22,96.2,96.15,91.47,93.92,101.5,93.32
2015M05,Belgium,111.22,96.2,96.15,89.33,93.92,101.5,93.32
2015M05,Bulgaria,111.22,96.2,96.15,100.0,93.92,101.5,93.32
2015M05,Czechia,111.22,96.2,96.15,95.61,93.92,101.5,93.32
2015M05,Denmark,111.22,96.2,96.15,91.28,93.92,101.5,93.32
2015M05,Germany,111.22,96.2,96.15,86.89,93.92,101.5,93.32
2015M05,Estonia,111.22,96.2,96.15,82.49,93.92,101.5,93.32
2015M05,Ireland,111.22,96.2,96.15,78.15,93.92,101.5,93.32
2015M05,Greece,111.22,96.2,96.15,100.0,93.92,101.5,93.32
2015M05,Spain,111.22,96.2,96.15,100.2,93.92,101.5,93.32
2015M05,France,111.22,96.2,96.15,100.33,93.92,101.5,93.32
2015M05,Croatia,111.22,96.2,96.15,100.46,93.92,101.5,93.32
2015M05,Italy,111.22,96.2,96.15,100.66,93.92,101.5,93.32
2015M05,Cyprus,111.22,96.2,96.15,100.86,93.92,101.5,93.32
2015M05,Latvia,111.22,96.2,96.15,100.0,93.92,101.5,93.32
2015M05,Lithuania,111.22,96.2,96.15,99.58,93.92,101.5,93.32
2015M05,Luxembourg,111.22,96.2,96.15,99.23,93.92,101.5,93.32
2015M05,Hungary,111.22,96.2,96.15,98.81,93.92,101.5,93.32
2015M05,Malta,111.22,96.2,96.15,98.39,93.92,101.5,93.32
2015M05,Netherlands,111.22,96.2,96.15,98.04,93.92,101.5,93.32
2015M05,Austria,111.22,96.2,96.15,100.0,93.92,101.5,93.32
2015M05,Poland,111.22,96.2,96.15,99.72,93.92,101.5,93.32
2015M05,Portugal,111.22,96.2,96.15,99.39,93.92,101.5,93.32
2015M05,Romania,111.22,96.2,96.15,99.06,93.92,101.5,93.32
2015M05,Slovenia,111.22,96.2,96.15,98.78,93.92,101.5,93.32
2015M05,Slovakia,111.22,96.2,96.15,98.5,93.92,101.5,93.32
2015M05,Finland,111.22,96.2,96.15,100.0,93.92,101.5,93.32
2015M05,Sweden,111.22,96.2,96.15,99.51,93.92,101.5,93.32
2015M06,EU,112.15,91.91,97.35,99.1,85.79,97.25,86.13
2015M06,Belgium,112.15,91.91,97.35,98.61,85.79,97.25,86.13
