time,country,crude_oil_price,natural_gas_price,coal_price,elec_price,steel_price,copper_price,aluminum_price
2015M03,Bulgaria,49.45,2.7249999046325684,56.8,0.1856,2287,2.6205,2080.5
2015M03,Czechia,49.45,2.7249999046325684,56.8,0.1842,2287,2.6205,2080.5
2015M03,Denmark,49.45,2.7249999046325684,56.8,0.1477,2287,2.6205,2080.5
2015M03,Germany,49.45,2.7249999046325684,56.8,0.1468,2287,2.6205,2080.5
2015M03,Estonia,49.45,2.7249999046325684,56.8,0.146,2287,2.6205,2080.5
2015M03,Ireland,49.45,2.7249999046325684,56.8,0.1452,2287,2.6205,2080.5
2015M03,Greece,49.45,2.7249999046325684,56.8,0.1443,2287,2.6205,2080.5
2015M03,Spain,49.45,2.7249999046325684,56.8,0.1434,2287,2.6205,2080.5
2015M03,France,49.45,2.7249999046325684,56.8,0.1346,2287,2.6205,2080.5
2015M03,Croatia,49.45,2.7249999046325684,56.8,0.1346,2287,2.6205,2080.5
2015M03,Italy,49.45,2.7249999046325684,56.8,0.1347,2287,2.6205,2080.5
2015M03,Cyprus,49.45,2.7249999046325684,56.8,0.1347,2287,2.6205,2080.5
2015M03,Latvia,49.45,2.7249999046325684,56.8,0.1348,2287,2.6205,2080.5
2015M03,Lithuania,49.45,2.7249999046325684,56.8,0.1348,2287,2.6205,2080.5
2015M03,Luxembourg,49.45,2.7249999046325684,56.8,0.2263,2287,2.6205,2080.5
2015M03,Hungary,49.45,2.7249999046325684,56.8,0.2258,2287,2.6205,2080.5
2015M03,Malta,49.45,2.7249999046325684,56.8,0.2252,2287,2.6205,2080.5
2015M03,Netherlands,49.45,2.7249999046325684,56.8,0.2247,2287,2.6205,2080.5
2015M03,Austria,49.45,2.7249999046325684,56.8,0.2242,2287,2.6205,2080.5
2015M03,Poland,49.45,2.7249999046325684,56.8,0.2236,2287,2.6205,2080.5
2015M03,Portugal,49.45,2.7249999046325684,56.8,0.1975,2287,2.6205,2080.5
2015M03,Romania,49.45,2.7249999046325684,56.8,0.1963,2287,2.6205,2080.5
2015M03,Slovenia,49.45,2.7249999046325684,56.8,0.1951,2287,2.6205,2080.5
2015M03,Slovakia,49.45,2.7249999046325684,56.8,0.1939,2287,2.6205,2080.5
2015M03,Finland,49.45,2.7249999046325684,56.8,0.1927,2287,2.6205,2080.5
2015M03,Sweden,49.45,2.7249999046325684,56.8,0.1915,2287,2.6205,2080.5
2015M04,EU,47.54999923706055,2.63700008392334,62.05,0.1595,2206,2.749500036239624,2036.0
2015M04,Belgium,47.54999923706055,2.63700008392334,62.05,0.1593,2206,2.749500036239624,2036.0
2015M04,Bulgaria,47.54999923706055,2.63700008392334,62.05,0.1591,2206,2.749500036239624,2036.0
2015M04,Czechia,47.54999923706055,2.63700008392334,62.05,0.159,2206,2.749500036239624,2036.0
2015M04,Denmark,47.54999923706055,2.63700008392334,62.05,0.1588,2206,2.749500036239624,2036.0
2015M04,Germany,47.54999923706055,2.63700008392334,62.05,0.1586,2206,2.749500036239624,2036.0
2015M04,Estonia,47.54999923706055,2.63700008392334,62.05,0.1324,2206,2.749500036239624,2036.0
2015M04,Ireland,47.54999923706055,2.63700008392334,62.05,0.1325,2206,2.749500036239624,2036.0
2015M04,Greece,47.54999923706055,2.63700008392334,62.05,0.1325,2206,2.749500036239624,2036.0
2015M04,Spain,47.54999923706055,2.63700008392334,62.05,0.1326,2206,2.749500036239624,2036.0
2015M04,France,47.54999923706055,2.63700008392334,62.05,0.1327,2206,2.749500036239624,2036.0
2015M04,Croatia,47.54999923706055,2.63700008392334,62.05,0.1327,2206,2.749500036239624,2036.0
2015M04,Italy,47.54999923706055,2.63700008392334,62.05,0.111,2206,2.749500036239624,2036.0
2015M04,Cyprus,47.54999923706055,2.63700008392334,62.05,0.111,2206,2.749500036239624,2036.0
2015M04,Latvia,47.54999923706055,2.63700008392334,62.05,0.1111,2206,2.749500036239624,2036.0
2015M04,Lithuania,47.54999923706055,2.63700008392334,62.05,0.1111,2206,2.749500036239624,2036.0
2015M04,Luxembourg,47.54999923706055,2.63700008392334,62.05,0.1111,2206,2.749500036239624,2036.0
2015M04,Hungary,47.54999923706055,2.63700008392334,62.05,0.1112,2206,2.749500036239624,2036.0
2015M04,Malta,47.54999923706055,2.63700008392334,62.05,0.1213,2206,2.749500036239624,2036.0
2015M04,Netherlands,47.54999923706055,2.63700008392334,62.05,0.1212,2206,2.749500036239624,2036.0
2015M04,Austria,47.54999923706055,2.63700008392334,62.05,0.121,2206,2.749500036239624,2036.0
2015M04,Poland,47.54999923706055,2.63700008392334,62.05,0.1209,2206,2.749500036239624,2036.0
2015M04,Portugal,47.54999923706055,2.63700008392334,62.05,0.1208,2206,2.749500036239624,2036.0
2015M04,Romania,47.54999923706055,2.63700008392334,62.05,0.1206,2206,2.749500036239624,2036.0
2015M04,Slovenia,47.54999923706055,2.63700008392334,62.05,0.1873,2206,2.749500036239624,2036.0
2015M04,Slovakia,47.54999923706055,2.63700008392334,62.05,0.1833,2206,2.749500036239624,2036.0
2015M04,Finland,47.54999923706055,2.63700008392334,62.05,0.1793,2206,2.749500036239624,2036.0
2015M04,Sweden,47.54999923706055,2.63700008392334,62.05,0.1753,2206,2.749500036239624,2036.0
2015M05,EU,59.790000915527344,2.736999988555908,60.05,0.1713,2055,2.884500026702881,2023.5
2015M05,Belgium,59.790000915527344,2.736999988555908,60.05,0.1673,2055,2.884500026702881,2023.5
2015M05,Bulgaria,59.790000915527344,2.736999988555908,60.05,0.173,2055,2.884500026702881,2023.5
2015M05,Czechia,59.790000915527344,2.736999988555908,60.05,0.1654,2055,2.884500026702881,2023.5
2015M05,Denmark,59.790000915527344,2.736999988555908,60.05,0.1579,2055,2.884500026702881,2023.5
2015M05,Germany,59.790000915527344,2.736999988555908,60.05,0.1503,2055,2.884500026702881,2023.5
2015M05,Estonia,59.790000915527344,2.736999988555908,60.05,0.1427,2055,2.884500026702881,2023.5
2015M05,Ireland,59.790000915527344,2.736999988555908,60.05,0.1352,2055,2.884500026702881,2023.5
2015M05,Greece,59.790000915527344,2.736999988555908,60.05,0.1495,2055,2.884500026702881,2023.5
2015M05,Spain,59.790000915527344,2.736999988555908,60.05,0.1498,2055,2.884500026702881,2023.5
2015M05,France,59.790000915527344,2.736999988555908,60.05,0.15,2055,2.884500026702881,2023.5
2015M05,Croatia,59.790000915527344,2.736999988555908,60.05,0.1502,2055,2.884500026702881,2023.5
2015M05,Italy,59.790000915527344,2.736999988555908,60.05,0.1505,2055,2.884500026702881,2023.5
2015M05,Cyprus,59.790000915527344,2.736999988555908,60.05,0.1508,2055,2.884500026702881,2023.5
2015M05,Latvia,59.790000915527344,2.736999988555908,60.05,0.1427,2055,2.884500026702881,2023.5
2015M05,Lithuania,59.790000915527344,2.736999988555908,60.05,0.1421,2055,2.884500026702881,2023.5
2015M05,Luxembourg,59.790000915527344,2.736999988555908,60.05,0.1416,2055,2.884500026702881,2023.5
2015M05,Hungary,59.790000915527344,2.736999988555908,60.05,0.141,2055,2.884500026702881,2023.5
2015M05,Malta,59.790000915527344,2.736999988555908,60.05,0.1404,2055,2.884500026702881,2023.5
2015M05,Netherlands,59.790000915527344,2.736999988555908,60.05,0.1399,2055,2.884500026702881,2023.5
2015M05,Austria,59.790000915527344,2.736999988555908,60.05,0.1805,2055,2.884500026702881,2023.5
2015M05,Poland,59.790000915527344,2.736999988555908,60.05,0.18,2055,2.884500026702881,2023.5
2015M05,Portugal,59.790000915527344,2.736999988555908,60.05,0.1794,2055,2.884500026702881,2023.5
2015M05,Romania,59.790000915527344,2.736999988555908,60.05,0.1788,2055,2.884500026702881,2023.5
2015M05,Slovenia,59.790000915527344,2.736999988555908,60.05,0.1783,2055,2.884500026702881,2023.5
2015M05,Slovakia,59.790000915527344,2.736999988555908,60.05,0.1778,2055,2.884500026702881,2023.5
2015M05,Finland,59.790000915527344,2.736999988555908,60.05,0.1226,2055,2.884500026702881,2023.5
2015M05,Sweden,59.790000915527344,2.736999988555908,60.05,0.122,2055,2.884500026702881,2023.5
2015M06,EU,60.290000915527344,2.615000009536743,60.8,0.1215,1877,2.763499975204468,1867.75
2015M06,Belgium,60.290000915527344,2.615000009536743,60.8,0.1209,1877,2.763499975204468,1867.75
2015M06,Bulgaria,60.290000915527344,2.615000009536743,60.8,0.1203,1877,2.763499975204468,1867.75
2015M06,Czechia,60.290000915527344,2.615000009536743,60.8,0.1198,1877,2.763499975204468,1867.75
2015M06,Denmark,60.290000915527344,2.615000009536743,60.8,0.1262,1877,2.763499975204468,1867.75
2015M06,Germany,60.290000915527344,2.615000009536743,60.8,0.1268,1877,2.763499975204468,1867.75
2015M06,Estonia,60.290000915527344,2.615000009536743,60.8,0.1274,1877,2.763499975204468,1867.75
2015M06,Ireland,60.290000915527344,2.615000009536743,60.8,0.128,1877,2.763499975204468,1867.75
2015M06,Greece,60.290000915527344,2.615000009536743,60.8,0.1287,1877,2.763499975204468,1867.75
2015M06,Spain,60.290000915527344,2.615000009536743,60.8,0.1293,1877,2.763499975204468,1867.75
2015M06,France,60.290000915527344,2.615000009536743,60.8,0.1655,1877,2.763499975204468,1867.75
2015M06,Croatia,60.290000915527344,2.615000009536743,60.8,0.1655,1877,2.763499975204468,1867.75
2015M06,Italy,60.290000915527344,2.615000009536743,60.8,0.1656,1877,2.763499975204468,1867.75
2015M06,Cyprus,60.290000915527344,2.615000009536743,60.8,0.1656,1877,2.763499975204468,1867.75
2015M06,Latvia,60.290000915527344,2.615000009536743,60.8,0.1656,1877,2.763499975204468,1867.75
2015M06,Lithuania,60.290000915527344,2.615000009536743,60.8,0.1657,1877,2.763499975204468,1867.75
2015M06,Luxembourg,60.290000915527344,2.615000009536743,60.8,0.1043,1877,2.763499975204468,1867.75
2015M06,Hungary,60.290000915527344,2.615000009536743,60.8,0.1042,1877,2.763499975204468,1867.75
2015M06,Malta,60.290000915527344,2.615000009536743,60.8,0.1041,1877,2.763499975204468,1867.75
2015M06,Netherlands,60.290000915527344,2.615000009536743,60.8,0.104,1877,2.763499975204468,1867.75
2015M06,Austria,60.290000915527344,2.615000009536743,60.8,0.1038,1877,2.763499975204468,1867.75
2015M06,Poland,60.290000915527344,2.615000009536743,60.8,0.1037,1877,2.763499975204468,1867.75
2015M06,Portugal,60.290000915527344,2.615000009536743,60.8,0.0903,1877,2.763499975204468,1867.75
2015M06,Romania,60.290000915527344,2.615000009536743,60.8,0.0899,1877,2.763499975204468,1867.75
2015M06,Slovenia,60.290000915527344,2.615000009536743,60.8,0.0894,1877,2.763499975204468,1867.75
2015M06,Slovakia,60.290000915527344,2.615000009536743,60.8,0.089,1877,2.763499975204468,1867.75
2015M06,Finland,60.290000915527344,2.615000009536743,60.8,0.0886,1877,2.763499975204468,1867.75
2015M06,Sweden,60.290000915527344,2.615000009536743,60.8,0.0881,1877,2.763499975204468,1867.75
2015M07,EU,58.97999954223633,2.815999984741211,60.3,0.1736,2043,2.622499942779541,1836.25
2015M07,Belgium,58.97999954223633,2.815999984741211,60.3,0.1733,2043,2.622499942779541,1836.25
2015M07,Bulgaria,58.97999954223633,2.815999984741211,60.3,0.1731,2043,2.622499942779541,1836.25
2015M07,Czechia,58.97999954223633,2.815999984741211,60.3,0.1728,2043,2.622499942779541,1836.25
2015M07,Denmark,58.97999954223633,2.815999984741211,60.3,0.1725,2043,2.622499942779541,1836.25
2015M07,Germany,58.97999954223633,2.815999984741211,60.3,0.1723,2043,2.622499942779541,1836.25
2015M07,Estonia,58.97999954223633,2.815999984741211,60.3,0.1759,2043,2.622499942779541,1836.25
2015M07,Ireland,58.97999954223633,2.815999984741211,60.3,0.1766,2043,2.622499942779541,1836.25
2015M07,Greece,58.97999954223633,2.815999984741211,60.3,0.1774,2043,2.622499942779541,1836.25
2015M07,Spain,58.97999954223633,2.815999984741211,60.3,0.1781,2043,2.622499942779541,1836.25
2015M07,France,58.97999954223633,2.815999984741211,60.3,0.1788,2043,2.622499942779541,1836.25
2015M07,Croatia,58.97999954223633,2.815999984741211,60.3,0.1796,2043,2.622499942779541,1836.25
2015M07,Italy,58.97999954223633,2.815999984741211,60.3,0.1239,2043,2.622499942779541,1836.25
2015M07,Cyprus,58.97999954223633,2.815999984741211,60.3,0.1247,2043,2.622499942779541,1836.25
2015M07,Latvia,58.97999954223633,2.815999984741211,60.3,0.1254,2043,2.622499942779541,1836.25
2015M07,Lithuania,58.97999954223633,2.815999984741211,60.3,0.1262,2043,2.622499942779541,1836.25
2015M07,Luxembourg,58.97999954223633,2.815999984741211,60.3,0.127,2043,2.622499942779541,1836.25
2015M07,Hungary,58.97999954223633,2.815999984741211,60.3,0.1277,2043,2.622499942779541,1836.25
2015M07,Malta,58.97999954223633,2.815999984741211,60.3,0.1481,2043,2.622499942779541,1836.25
2015M07,Netherlands,58.97999954223633,2.815999984741211,60.3,0.1469,2043,2.622499942779541,1836.25
2015M07,Austria,58.97999954223633,2.815999984741211,60.3,0.1458,2043,2.622499942779541,1836.25
2015M07,Poland,58.97999954223633,2.815999984741211,60.3,0.1446,2043,2.622499942779541,1836.25
2015M07,Portugal,58.97999954223633,2.815999984741211,60.3,0.1434,2043,2.622499942779541,1836.25
2015M07,Romania,58.97999954223633,2.815999984741211,60.3,0.1423,2043,2.622499942779541,1836.25
2015M07,Slovenia,58.97999954223633,2.815999984741211,60.3,0.2672,2043,2.622499942779541,1836.25
2015M07,Slovakia,58.97999954223633,2.815999984741211,60.3,0.2682,2043,2.622499942779541,1836.25
2015M07,Finland,58.97999954223633,2.815999984741211,60.3,0.2693,2043,2.622499942779541,1836.25
2015M07,Sweden,58.97999954223633,2.815999984741211,60.3,0.2703,2043,2.622499942779541,1836.25
2015M08,EU,46.86000061035156,2.7249999046325684,58.4,0.2713,1935,2.3499999046325684,1690.0
2015M08,Belgium,46.86000061035156,2.7249999046325684,58.4,0.2724,1935,2.3499999046325684,1690.0
2015M08,Bulgaria,46.86000061035156,2.7249999046325684,58.4,0.2226,1935,2.3499999046325684,1690.0
2015M08,Czechia,46.86000061035156,2.7249999046325684,58.4,0.2232,1935,2.3499999046325684,1690.0
2015M08,Denmark,46.86000061035156,2.7249999046325684,58.4,0.2237,1935,2.3499999046325684,1690.0
2015M08,Germany,46.86000061035156,2.7249999046325684,58.4,0.2242,1935,2.3499999046325684,1690.0
2015M08,Estonia,46.86000061035156,2.7249999046325684,58.4,0.2248,1935,2.3499999046325684,1690.0
2015M08,Ireland,46.86000061035156,2.7249999046325684,58.4,0.2254,1935,2.3499999046325684,1690.0
2015M08,Greece,46.86000061035156,2.7249999046325684,58.4,0.1178,1935,2.3499999046325684,1690.0
2015M08,Spain,46.86000061035156,2.7249999046325684,58.4,0.1168,1935,2.3499999046325684,1690.0
2015M08,France,46.86000061035156,2.7249999046325684,58.4,0.1158,1935,2.3499999046325684,1690.0
2015M08,Croatia,46.86000061035156,2.7249999046325684,58.4,0.1148,1935,2.3499999046325684,1690.0
2015M08,Italy,46.86000061035156,2.7249999046325684,58.4,0.1138,1935,2.3499999046325684,1690.0
2015M08,Cyprus,46.86000061035156,2.7249999046325684,58.4,0.1128,1935,2.3499999046325684,1690.0
2015M08,Latvia,46.86000061035156,2.7249999046325684,58.4,0.1862,1935,2.3499999046325684,1690.0
2015M08,Lithuania,46.86000061035156,2.7249999046325684,58.4,0.1853,1935,2.3499999046325684,1690.0
2015M08,Luxembourg,46.86000061035156,2.7249999046325684,58.4,0.1843,1935,2.3499999046325684,1690.0
2015M08,Hungary,46.86000061035156,2.7249999046325684,58.4,0.1834,1935,2.3499999046325684,1690.0
2015M08,Malta,46.86000061035156,2.7249999046325684,58.4,0.1825,1935,2.3499999046325684,1690.0
2015M08,Netherlands,46.86000061035156,2.7249999046325684,58.4,0.1815,1935,2.3499999046325684,1690.0
2015M08,Austria,46.86000061035156,2.7249999046325684,58.4,0.2105,1935,2.3499999046325684,1690.0
2015M08,Poland,46.86000061035156,2.7249999046325684,58.4,0.1993,1935,2.3499999046325684,1690.0
2015M08,Portugal,46.86000061035156,2.7249999046325684,58.4,0.1881,1935,2.3499999046325684,1690.0
2015M08,Romania,46.86000061035156,2.7249999046325684,58.4,0.177,1935,2.3499999046325684,1690.0
2015M08,Slovenia,46.86000061035156,2.7249999046325684,58.4,0.1658,1935,2.3499999046325684,1690.0
2015M08,Slovakia,46.86000061035156,2.7249999046325684,58.4,0.1546,1935,2.3499999046325684,1690.0
2015M08,Finland,46.86000061035156,2.7249999046325684,58.4,0.1828,1935,2.3499999046325684,1690.0
2015M08,Sweden,46.86000061035156,2.7249999046325684,58.4,0.1819,1935,2.3499999046325684,1690.0
2015M09,EU,48.09999847412109,2.686000108718872,53.85,0.181,1796,2.3355000019073486,1690.0
2015M09,Belgium,48.09999847412109,2.686000108718872,53.85,0.1801,1796,2.3355000019073486,1690.0
2015M09,Bulgaria,48.09999847412109,2.686000108718872,53.85,0.1793,1796,2.3355000019073486,1690.0
2015M09,Czechia,48.09999847412109,2.686000108718872,53.85,0.1784,1796,2.3355000019073486,1690.0
2015M09,Denmark,48.09999847412109,2.686000108718872,53.85,0.1426,1796,2.3355000019073486,1690.0
2015M09,Germany,48.09999847412109,2.686000108718872,53.85,0.1421,1796,2.3355000019073486,1690.0
2015M09,Estonia,48.09999847412109,2.686000108718872,53.85,0.1416,1796,2.3355000019073486,1690.0
2015M09,Ireland,48.09999847412109,2.686000108718872,53.85,0.1411,1796,2.3355000019073486,1690.0
2015M09,Greece,48.09999847412109,2.686000108718872,53.85,0.1406,1796,2.3355000019073486,1690.0
2015M09,Spain,48.09999847412109,2.686000108718872,53.85,0.1401,1796,2.3355000019073486,1690.0
2015M09,France,48.09999847412109,2.686000108718872,53.85,0.1349,1796,2.3355000019073486,1690.0
2015M09,Croatia,48.09999847412109,2.686000108718872,53.85,0.1344,1796,2.3355000019073486,1690.0
2015M09,Italy,48.09999847412109,2.686000108718872,53.85,0.134,1796,2.3355000019073486,1690.0
2015M09,Cyprus,48.09999847412109,2.686000108718872,53.85,0.1336,1796,2.3355000019073486,1690.0
2015M09,Latvia,48.09999847412109,2.686000108718872,53.85,0.1331,1796,2.3355000019073486,1690.0
2015M09,Lithuania,48.09999847412109,2.686000108718872,53.85,0.1327,1796,2.3355000019073486,1690.0
2015M09,Luxembourg,48.09999847412109,2.686000108718872,53.85,0.2231,1796,2.3355000019073486,1690.0
2015M09,Hungary,48.09999847412109,2.686000108718872,53.85,0.2216,1796,2.3355000019073486,1690.0
2015M09,Malta,48.09999847412109,2.686000108718872,53.85,0.2201,1796,2.3355000019073486,1690.0
2015M09,Netherlands,48.09999847412109,2.686000108718872,53.85,0.2186,1796,2.3355000019073486,1690.0
2015M09,Austria,48.09999847412109,2.686000108718872,53.85,0.2171,1796,2.3355000019073486,1690.0
2015M09,Poland,48.09999847412109,2.686000108718872,53.85,0.2156,1796,2.3355000019073486,1690.0
2015M09,Portugal,48.09999847412109,2.686000108718872,53.85,0.1903,1796,2.3355000019073486,1690.0
2015M09,Romania,48.09999847412109,2.686000108718872,53.85,0.1844,1796,2.3355000019073486,1690.0
2015M09,Slovenia,48.09999847412109,2.686000108718872,53.85,0.1785,1796,2.3355000019073486,1690.0
2015M09,Slovakia,48.09999847412109,2.686000108718872,53.85,0.1726,1796,2.3355000019073486,1690.0
2015M09,Finland,48.09999847412109,2.686000108718872,53.85,0.1668,1796,2.3355000019073486,1690.0
2015M09,Sweden,48.09999847412109,2.686000108718872,53.85,0.1609,1796,2.3355000019073486,1690.0
2015M10,EU,45.380001068115234,2.5220000743865967,53.05,0.1584,1764,2.3415000438690186,1630.0
2015M10,Belgium,45.380001068115234,2.5220000743865967,53.05,0.1579,1764,2.3415000438690186,1630.0
2015M10,Bulgaria,45.380001068115234,2.5220000743865967,53.05,0.1574,1764,2.3415000438690186,1630.0
2015M10,Czechia,45.380001068115234,2.5220000743865967,53.05,0.157,1764,2.3415000438690186,1630.0
2015M10,Denmark,45.380001068115234,2.5220000743865967,53.05,0.1565,1764,2.3415000438690186,1630.0
2015M10,Germany,45.380001068115234,2.5220000743865967,53.05,0.156,1764,2.3415000438690186,1630.0
2015M10,Estonia,45.380001068115234,2.5220000743865967,53.05,0.1328,1764,2.3415000438690186,1630.0
2015M10,Ireland,45.380001068115234,2.5220000743865967,53.05,0.132,1764,2.3415000438690186,1630.0
2015M10,Greece,45.380001068115234,2.5220000743865967,53.05,0.1311,1764,2.3415000438690186,1630.0
2015M10,Spain,45.380001068115234,2.5220000743865967,53.05,0.1302,1764,2.3415000438690186,1630.0
2015M10,France,45.380001068115234,2.5220000743865967,53.05,0.1294,1764,2.3415000438690186,1630.0
2015M10,Croatia,45.380001068115234,2.5220000743865967,53.05,0.1286,1764,2.3415000438690186,1630.0
2015M10,Italy,45.380001068115234,2.5220000743865967,53.05,0.1112,1764,2.3415000438690186,1630.0
2015M10,Cyprus,45.380001068115234,2.5220000743865967,53.05,0.1109,1764,2.3415000438690186,1630.0
2015M10,Latvia,45.380001068115234,2.5220000743865967,53.05,0.1106,1764,2.3415000438690186,1630.0
2015M10,Lithuania,45.380001068115234,2.5220000743865967,53.05,0.1102,1764,2.3415000438690186,1630.0
2015M10,Luxembourg,45.380001068115234,2.5220000743865967,53.05,0.1099,1764,2.3415000438690186,1630.0
2015M10,Hungary,45.380001068115234,2.5220000743865967,53.05,0.1096,1764,2.3415000438690186,1630.0
2015M10,Malta,45.380001068115234,2.5220000743865967,53.05,0.1205,1764,2.3415000438690186,1630.0
2015M10,Netherlands,45.380001068115234,2.5220000743865967,53.05,0.1196,1764,2.3415000438690186,1630.0
2015M10,Austria,45.380001068115234,2.5220000743865967,53.05,0.1187,1764,2.3415000438690186,1630.0
2015M10,Poland,45.380001068115234,2.5220000743865967,53.05,0.1178,1764,2.3415000438690186,1630.0
2015M10,Portugal,45.380001068115234,2.5220000743865967,53.05,0.1169,1764,2.3415000438690186,1630.0
2015M10,Romania,45.380001068115234,2.5220000743865967,53.05,0.116,1764,2.3415000438690186,1630.0
2015M10,Slovenia,45.380001068115234,2.5220000743865967,53.05,0.1633,1764,2.3415000438690186,1630.0
2015M10,Slovakia,45.380001068115234,2.5220000743865967,53.05,0.1637,1764,2.3415000438690186,1630.0
