time,country,value,value_var,value_100,date
2015M07,EU,0.1736,-2.8,97.2,2015-07-01
2015M08,EU,0.1733,-0.17,97.03,2015-08-01
2015M09,EU,0.1731,-0.12,96.91,2015-09-01
2015M10,EU,0.1728,-0.17,96.75,2015-10-01
2015M11,EU,0.1725,-0.17,96.59,2015-11-01
2015M12,EU,0.1723,-0.12,96.47,2015-12-01
2015M07,Belgium,0.1759,3.11,103.11,2015-07-01
2015M08,Belgium,0.1766,0.4,103.52,2015-08-01
2015M09,Belgium,0.1774,0.45,103.99,2015-09-01
2015M10,Belgium,0.1781,0.39,104.4,2015-10-01
2015M11,Belgium,0.1788,0.39,104.81,2015-11-01
2015M12,Belgium,0.1796,0.45,105.28,2015-12-01
2015M07,Bulgaria,0.1239,15.26,115.26,2015-07-01
2015M08,Bulgaria,0.1247,0.65,116.01,2015-08-01
2015M09,Bulgaria,0.1254,0.56,116.66,2015-09-01
2015M10,Bulgaria,0.1262,0.64,117.41,2015-10-01
2015M11,Bulgaria,0.127,0.63,118.15,2015-11-01
2015M12,Bulgaria,0.1277,0.55,118.8,2015-12-01
2015M07,Czechia,0.1481,1.51,101.51,2015-07-01
2015M08,Czechia,0.1469,-0.81,100.69,2015-08-01
2015M09,Czechia,0.1458,-0.75,99.93,2015-09-01
2015M10,Czechia,0.1446,-0.82,99.11,2015-10-01
2015M11,Czechia,0.1434,-0.83,98.29,2015-11-01
2015M12,Czechia,0.1423,-0.77,97.53,2015-12-01
2015M07,Denmark,0.2672,-0.07,99.93,2015-07-01
2015M08,Denmark,0.2682,0.37,100.3,2015-08-01
2015M09,Denmark,0.2693,0.41,100.71,2015-09-01
2015M10,Denmark,0.2703,0.37,101.08,2015-10-01
2015M11,Denmark,0.2713,0.37,101.45,2015-11-01
2015M12,Denmark,0.2724,0.41,101.87,2015-12-01
2015M07,Germany,0.2226,-2.2,97.8,2015-07-01
2015M08,Germany,0.2232,0.27,98.06,2015-08-01
2015M09,Germany,0.2237,0.22,98.28,2015-09-01
2015M10,Germany,0.2242,0.22,98.5,2015-10-01
2015M11,Germany,0.2248,0.27,98.77,2015-11-01
2015M12,Germany,0.2254,0.27,99.04,2015-12-01
2015M07,Estonia,0.1178,3.24,103.24,2015-07-01
2015M08,Estonia,0.1168,-0.85,102.36,2015-08-01
2015M09,Estonia,0.1158,-0.86,101.48,2015-09-01
2015M10,Estonia,0.1148,-0.86,100.61,2015-10-01
2015M11,Estonia,0.1138,-0.87,99.73,2015-11-01
2015M12,Estonia,0.1128,-0.88,98.85,2015-12-01
2015M07,Ireland,0.1862,0.11,100.11,2015-07-01
2015M08,Ireland,0.1853,-0.48,99.63,2015-08-01
2015M09,Ireland,0.1843,-0.54,99.09,2015-09-01
2015M10,Ireland,0.1834,-0.49,98.6,2015-10-01
2015M11,Ireland,0.1825,-0.49,98.12,2015-11-01
2015M12,Ireland,0.1815,-0.55,97.58,2015-12-01
2015M07,Greece,0.2105,8.9,108.9,2015-07-01
2015M08,Greece,0.1993,-5.32,103.11,2015-08-01
2015M09,Greece,0.1881,-5.62,97.32,2015-09-01
2015M10,Greece,0.177,-5.9,91.58,2015-10-01
2015M11,Greece,0.1658,-6.33,85.78,2015-11-01
2015M12,Greece,0.1546,-6.76,79.98,2015-12-01
2015M07,Spain,0.1828,-4.39,95.61,2015-07-01
2015M08,Spain,0.1819,-0.49,95.14,2015-08-01
2015M09,Spain,0.181,-0.49,94.67,2015-09-01
2015M10,Spain,0.1801,-0.5,94.2,2015-10-01
2015M11,Spain,0.1793,-0.44,93.79,2015-11-01
2015M12,Spain,0.1784,-0.5,93.32,2015-12-01
2015M07,France,0.1426,-3.45,96.55,2015-07-01
2015M08,France,0.1421,-0.35,96.21,2015-08-01
2015M09,France,0.1416,-0.35,95.87,2015-09-01
2015M10,France,0.1411,-0.35,95.53,2015-10-01
2015M11,France,0.1406,-0.35,95.2,2015-11-01
2015M12,France,0.1401,-0.36,94.86,2015-12-01
2015M07,Croatia,0.1349,0.22,100.22,2015-07-01
2015M08,Croatia,0.1344,-0.37,99.85,2015-08-01
2015M09,Croatia,0.134,-0.3,99.55,2015-09-01
2015M10,Croatia,0.1336,-0.3,99.25,2015-10-01
2015M11,Croatia,0.1331,-0.37,98.88,2015-11-01
2015M12,Croatia,0.1327,-0.3,98.58,2015-12-01
2015M07,Italy,0.2231,-1.41,98.59,2015-07-01
2015M08,Italy,0.2216,-0.67,97.93,2015-08-01
2015M09,Italy,0.2201,-0.68,97.26,2015-09-01
2015M10,Italy,0.2186,-0.68,96.6,2015-10-01
2015M11,Italy,0.2171,-0.69,95.93,2015-11-01
2015M12,Italy,0.2156,-0.69,95.27,2015-12-01
2015M07,Cyprus,0.1903,-3.65,96.35,2015-07-01
2015M08,Cyprus,0.1844,-3.1,93.36,2015-08-01
2015M09,Cyprus,0.1785,-3.2,90.37,2015-09-01
2015M10,Cyprus,0.1726,-3.31,87.38,2015-10-01
2015M11,Cyprus,0.1668,-3.36,84.44,2015-11-01
2015M12,Cyprus,0.1609,-3.54,81.45,2015-12-01
2015M07,Latvia,0.1584,-0.69,99.31,2015-07-01
2015M08,Latvia,0.1579,-0.32,98.99,2015-08-01
2015M09,Latvia,0.1574,-0.32,98.67,2015-09-01
2015M10,Latvia,0.157,-0.25,98.42,2015-10-01
2015M11,Latvia,0.1565,-0.32,98.11,2015-11-01
2015M12,Latvia,0.156,-0.32,97.8,2015-12-01
2015M07,Lithuania,0.1328,0.3,100.3,2015-07-01
2015M08,Lithuania,0.132,-0.6,99.7,2015-08-01
2015M09,Lithuania,0.1311,-0.68,99.02,2015-09-01
2015M10,Lithuania,0.1302,-0.69,98.34,2015-10-01
2015M11,Lithuania,0.1294,-0.61,97.74,2015-11-01
2015M12,Lithuania,0.1286,-0.62,97.13,2015-12-01
2015M07,Luxembourg,0.1112,0.18,100.18,2015-07-01
2015M08,Luxembourg,0.1109,-0.27,99.91,2015-08-01
2015M09,Luxembourg,0.1106,-0.27,99.64,2015-09-01
2015M10,Luxembourg,0.1102,-0.36,99.28,2015-10-01
2015M11,Luxembourg,0.1099,-0.27,99.01,2015-11-01
2015M12,Luxembourg,0.1096,-0.27,98.74,2015-12-01
2015M07,Hungary,0.1205,-0.66,99.34,2015-07-01
2015M08,Hungary,0.1196,-0.75,98.59,2015-08-01
2015M09,Hungary,0.1187,-0.75,97.85,2015-09-01
2015M10,Hungary,0.1178,-0.76,97.11,2015-10-01
2015M11,Hungary,0.1169,-0.76,96.37,2015-11-01
2015M12,Hungary,0.116,-0.77,95.63,2015-12-01
2015M07,Malta,0.1633,-12.81,87.19,2015-07-01
2015M08,Malta,0.1637,0.24,87.4,2015-08-01
2015M09,Malta,0.1641,0.24,87.61,2015-09-01
2015M10,Malta,0.1645,0.24,87.82,2015-10-01
2015M11,Malta,0.1649,0.24,88.03,2015-11-01
2015M12,Malta,0.1653,0.24,88.24,2015-12-01
2015M07,Netherlands,0.1276,-26.24,73.76,2015-07-01
2015M08,Netherlands,0.1342,5.17,77.57,2015-08-01
2015M09,Netherlands,0.1407,4.84,81.32,2015-09-01
2015M10,Netherlands,0.1472,4.62,85.08,2015-10-01
2015M11,Netherlands,0.1538,4.48,88.89,2015-11-01
2015M12,Netherlands,0.1604,4.29,92.7,2015-12-01
2015M07,Austria,0.151,1.0,101.0,2015-07-01
2015M08,Austria,0.1512,0.13,101.13,2015-08-01
2015M09,Austria,0.1513,0.07,101.2,2015-09-01
2015M10,Austria,0.1514,0.07,101.27,2015-10-01
2015M11,Austria,0.1516,0.13,101.4,2015-11-01
2015M12,Austria,0.1518,0.13,101.53,2015-12-01
2015M07,Poland,0.1393,-2.38,97.62,2015-07-01
2015M08,Poland,0.138,-0.93,96.71,2015-08-01
2015M09,Poland,0.1366,-1.01,95.73,2015-09-01
2015M10,Poland,0.1353,-0.95,94.82,2015-10-01
2015M11,Poland,0.134,-0.96,93.91,2015-11-01
2015M12,Poland,0.1326,-1.04,92.93,2015-12-01
2015M07,Portugal,0.1772,-1.83,98.17,2015-07-01
2015M08,Portugal,0.1784,0.68,98.84,2015-08-01
2015M09,Portugal,0.1796,0.67,99.5,2015-09-01
2015M10,Portugal,0.1808,0.67,100.17,2015-10-01
2015M11,Portugal,0.182,0.66,100.83,2015-11-01
2015M12,Portugal,0.1832,0.66,101.5,2015-12-01
2015M07,Romania,0.1192,-2.77,97.23,2015-07-01
2015M08,Romania,0.1179,-1.09,96.17,2015-08-01
2015M09,Romania,0.1166,-1.1,95.11,2015-09-01
2015M10,Romania,0.1154,-1.03,94.13,2015-10-01
2015M11,Romania,0.1141,-1.13,93.07,2015-11-01
2015M12,Romania,0.1128,-1.14,92.01,2015-12-01
2015M07,Slovenia,0.1299,2.93,102.93,2015-07-01
2015M08,Slovenia,0.1295,-0.31,102.61,2015-08-01
2015M09,Slovenia,0.1292,-0.23,102.37,2015-09-01
2015M10,Slovenia,0.1288,-0.31,102.05,2015-10-01
2015M11,Slovenia,0.1284,-0.31,101.73,2015-11-01
2015M12,Slovenia,0.1281,-0.23,101.5,2015-12-01
2015M07,Slovakia,0.1657,0.12,100.12,2015-07-01
2015M08,Slovakia,0.1651,-0.36,99.76,2015-08-01
2015M09,Slovakia,0.1645,-0.36,99.4,2015-09-01
2015M10,Slovakia,0.1639,-0.36,99.04,2015-10-01
2015M11,Slovakia,0.1633,-0.37,98.67,2015-11-01
2015M12,Slovakia,0.1627,-0.37,98.3,2015-12-01
2015M07,Finland,0.1036,-0.67,99.33,2015-07-01
2015M08,Finland,0.1034,-0.19,99.14,2015-08-01
2015M09,Finland,0.1033,-0.1,99.04,2015-09-01
2015M10,Finland,0.1032,-0.1,98.94,2015-10-01
2015M11,Finland,0.103,-0.19,98.75,2015-11-01
2015M12,Finland,0.1028,-0.19,98.56,2015-12-01
2015M07,Sweden,0.0877,-2.88,97.12,2015-07-01
2015M08,Sweden,0.088,0.34,97.45,2015-08-01
2015M09,Sweden,0.0883,0.34,97.78,2015-09-01
2015M10,Sweden,0.0885,0.23,98.0,2015-10-01
2015M11,Sweden,0.0888,0.34,98.33,2015-11-01
2015M12,Sweden,0.0891,0.34,98.66,2015-12-01
2016M01,EU,0.172,-0.92,96.31,2016-01-01
2016M02,EU,0.1714,-0.35,95.97,2016-02-01
2016M03,EU,0.1709,-0.29,95.69,2016-03-01
2016M04,EU,0.1704,-0.29,95.41,2016-04-01
2016M05,EU,0.1698,-0.35,95.08,2016-05-01
2016M06,EU,0.1692,-0.35,94.75,2016-06-01
2016M01,Belgium,0.1803,2.5,105.69,2016-01-01
2016M02,Belgium,0.1818,0.83,106.57,2016-02-01
2016M03,Belgium,0.1834,0.88,107.51,2016-03-01
2016M04,Belgium,0.1849,0.82,108.39,2016-04-01
2016M05,Belgium,0.1864,0.81,109.27,2016-05-01
2016M06,Belgium,0.188,0.86,110.21,2016-06-01
2016M01,Bulgaria,0.1285,3.71,119.54,2016-01-01
2016M02,Bulgaria,0.126,-1.95,117.21,2016-02-01
2016M03,Bulgaria,0.1235,-1.98,114.89,2016-03-01
2016M04,Bulgaria,0.121,-2.02,112.57,2016-04-01
2016M05,Bulgaria,0.1186,-1.98,110.34,2016-05-01
2016M06,Bulgaria,0.1161,-2.11,108.01,2016-06-01
